,latitude,longitude,bc,co,no2,o3,pm10,pm25,so2
0,47.9329056,106.9213833,,1075.0,54.0,2.0,297.0,,39.0
1,41.322472,-95.937992,,,,0.015,,,0.0
2,36.8097,-107.6517,,,,0.0,,,
3,-37.471182288689,-72.36146284977,,,,,31.17,11.52,
4,32.205,-110.8772,,,,0.015,,,
5,41.208083,-95.947439,,,,0.013,,,
6,41.133317,-95.956078,,,,,,20.0,
7,34.8147,-106.7397,,,,0.008,,,
8,41.257317,-95.983831,,,,,13.0,,
9,27.4494,-82.521896,,,,0.017,,,
10,41.55523,-81.575256,,,,0.01,,,
11,41.259478,-96.034714,,1.15,,,,,
12,18.497484,73.81349,,4360.0,,28.92,95.0,100.0,
13,49.04278,-122.30972,,,,0.009,,,
14,49.021506,-122.326556,,0.13,0.004,0.011,18.0,4.3,0.0
15,57.15736,-2.094278,,,37.0,4.0,18.0,10.0,
16,46.9772,-123.8317,,,,,,4.3,
17,57.144555,-2.106472,,,39.0,,,,
18,57.133888,-2.094198,,,15.0,,,,
19,41.8402,-72.01,,,,0.026,,,
20,44.377048,-68.260902,,,,0.015,,1.0,
21,19.6355,-98.912,,0.6,0.015,0.003,34.0,,0.002
22,34.6811,-92.3283,,,,,,14.6,
23,35.9803,-83.9306,,,,,,16.2,
24,47.645351,-117.589027,,,,,,5.1,
25,33.420601,-111.503304,,,,0.026,,,
26,32.382034,-112.857452,,,,,127.0,,
27,41.07914,-81.51627,,0.1,,,,,0.0
28,30.6681,-94.6739,,,,0.016,,,
29,34.243889,-113.558611,,,,0.011,11.0,1.0,0.001
30,12.99711389,80.19151667,,1600.0,12.66,3.92,,,
31,37.2385,-94.42468,,,,0.015,,,
32,40.3,-85.245556,,,,0.012,,,
33,44.61569,-123.091457,,,,,,2.5,
34,38.076599,-78.503998,,,,0.019,,4.1,
35,-34.5805556,150.7816667,,0.0,0.0006,0.019,5.1,,0.107
36,42.6425,-73.7547,,,,,,1.9,
37,-36.0516667,146.9741667,,,,,14.1,,
38,39.563301,-76.203903,,,,0.022,,,
39,47.035,-84.3811,,,,0.022,,,
40,38.869,-89.6228,,,,0.027,,,
41,40.6119,-75.4325,,,,0.018,,,
42,42.2283,-83.2092,,0.6,,0.004,,20.9,0.002
43,40.931398,-81.123519,,,,0.002,,,
44,32.842297,-116.768326,,,,0.022,,2.9,
45,41.6708,-87.7325,,,,0.004,,5.1,
46,40.515,-78.3889,,,,0.019,,4.3,
47,-20.290466881209,-70.100192427636,,,,,,10.39,
48,38.890301,-90.148102,,,,0.01,,,
49,39.478849,-84.407675,,,,,,7.5,0.002
50,35.2006,-101.9083,,,,,,3.5,
51,47.913429,106.997907,,1685.0,39.0,18.0,317.0,123.0,93.0
52,42.9925,-78.7764,,,,0.001,,,
53,52.3395,4.84102,,,,,30.5309,,
54,52.3813,4.84523,,-999.0,-999.0,,46.8087,34.2783,
55,52.3854,4.87575,,,-999.0,,,,
56,52.428,4.77348,,,-999.0,,46.6348,33.6261,-999.0
57,52.3748,4.86032,,,-999.0,,48.4913,,
58,52.3207,4.9884,,,-999.0,,,,
59,52.3893,4.94382,,,-999.0,-999.0,,,
60,52.3721,4.9044,,,-999.0,,,,
61,52.3984,4.72858,,,-999.0,,25.0091,13.2478,
62,52.3668,4.79334,,,-999.0,,,,
63,52.358,4.8997,,,-999.0,,37.2739,28.1261,
64,52.39,4.88781,,-999.0,-999.0,-999.0,39.3957,29.8957,
65,52.3597,4.86621,,-999.0,-999.0,-999.0,31.3609,23.4261,
66,52.394,4.87016,,,,,44.5957,29.2783,-999.0
67,48.52059,-122.61428,,,,0.019,,6.0,
68,48.465401,-122.559998,,,,,,1.7,
69,33.82,-117.913101,,,,0.001,4.0,2.0,
70,28.6508,77.3152,,1300.0,134.8,24.5,564.0,161.0,18.0
71,39.68425,-74.861488,,,,0.016,,,
72,-30.227767752117,-71.086126833637,,,,,66.3,,
73,40.4531,-122.2978,,,,0.026,,6.2,
74,40.125557,-85.652222,,,,,,3.9,
75,42.4164,-83.9019,,,,0.024,,,
76,38.71209,-121.38109,,0.2,0.002,0.015,,,
77,32.0036,-106.5992,,,,,48.0,,
78,-23.61354215815,-70.383315682411,,,,,31.14,3.86,
79,36.391008,-114.910877,,,,0.038,,,
80,27.779712,-82.419835,,,,,,9.6,0.0
81,44.3069,-88.3956,,,,0.013,,6.0,
82,44.7383,-93.2372,,,,,,2.0,
83,13.689028480765,102.50620686398,,,,,30.0,,
84,38.568503,-121.493254,,,,,,-4.0,
85,27.1889,-81.3403,,,,0.021,,,
86,38.613804,-121.368007,0.0,0.23,0.006,0.004,,4.0,0.003
87,25.35055556,82.97833333,,1370.0,58.5,8.85,303.0,97.0,
88,39.9233,-77.3081,,,,0.019,,2.9,
89,39.9231,-77.3078,,,,0.022,,,
90,-18.483427991456,-70.290550727043,,,,,,5.16,
91,32.6558,-97.0886,,,,0.002,,7.0,
92,54.353728,-6.654558,,,22.0,,18.0,,
93,38.448581,-90.398436,,,,0.007,9.0,-0.5,
94,45.4667,-73.75,,,,0.028,,,
95,35.239193,-118.788498,,,,0.009,,,
96,31.7467,-106.402802,,,,0.003,,6.4,
97,39.024399,-77.489998,,,0.006,0.017,,,
98,46.604,-68.4135,,,,0.025,,,
99,42.1941,-122.7086,,,,,,-0.2,
100,33.007801,-80.964996,,,,0.003,,11.6,
101,39.5415,-105.2984,,,,0.037,,,
102,52.50385,-3.034178,,,3.0,36.0,,,
103,35.494556,-120.666203,,,0.003,0.004,1.0,-2.0,
104,29.961944,-95.235,,,,0.051,,,
