,latitude,longitude,no2,o3,pm10,pm25,so2
0,51.54421,-0.175269,77.0,,42.0,32.0,
1,51.51895,-0.265617,,,45.0,,
2,51.5993,-0.068218,50.0,,,10.0,
3,51.46603,0.184806,35.0,,,26.0,
4,51.52229,-0.125889,76.0,9.0,28.0,21.0,30.0
5,51.45258,0.070766,25.0,6.0,,21.0,
6,51.584128,-0.125254,34.0,1.0,,,
7,51.48879,-0.441614,54.0,5.0,27.0,22.0,
8,51.617333,-0.298777,,,,24.0,
9,51.49633,-0.460861,46.0,1.0,,,
10,51.52253,-0.154611,87.0,7.0,39.0,27.0,14.0
11,51.52105,-0.213492,61.0,11.0,39.0,27.0,12.0
12,51.42099,-0.339647,14.0,45.0,,,
13,51.425286,-0.345606,,,,19.0,
14,51.49467,-0.131931,39.0,,,,
15,51.544206,0.678408,54.0,10.0,,23.0,
16,51.480499,-0.05955,59.0,,41.0,,
17,51.47707,0.317969,27.0,3.0,35.0,,6.0
18,51.52253,-0.042155,30.0,,,,
